seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
52,Ethan,Patton,41,Napuzu Road,Mokpewas,HI,96953,$5519.22,RED,03/17/1948
53,Elizabeth,Black,46,Fadmed Extension,Duzabuto,NV,86241,$3191.14,YELLOW,08/24/1996
54,Wesley,Dennis,49,Patij Junction,Divuspe,WY,42506,$5006.02,RED,08/22/1979
55,Emma,Riley,47,Mufag Plaza,Datgesza,NV,98415,$6337.24,BLUE,05/19/1943
56,Lydia,Simon,23,Zagod Grove,Himhevuha,MO,29680,$3046.69,BLUE,05/20/2014
57,Harriett,Sanchez,54,Eraeta Heights,Vacpawma,GA,77706,$6214.67,GREEN,03/28/1951
58,Julia,Moody,61,Potac Street,Wiloor,IA,27262,$7376.84,RED,09/16/1908
59,Richard,Porter,33,Lorvow Road,Rewoldoj,FL,93846,$8351.11,BLUE,12/04/2053
60,Sophie,Thomas,35,Zaata Heights,Libejekus,ME,36024,$557.36,RED,01/23/2053
61,Emily,Ortega,42,Sejug Junction,Ubsohdi,ND,29424,$1286.90,YELLOW,10/05/1905
62,Flora,Newton,32,Huono View,Pugevor,NH,88132,$3086.81,GREEN,02/12/2056
63,Kevin,Page,63,Beho Pike,Ubijebku,GA,98109,$5265.09,RED,09/08/1955
64,Katherine,Guerrero,62,Nuluz Terrace,Ekfujro,MI,93676,$7257.58,WHITE,10/27/2007
65,Lola,Watts,22,Atigiw Path,Majotiv,MO,92918,$3652.20,BLUE,10/29/2037
66,Maude,Dennis,56,Ecuki Plaza,Huhhicul,PA,53358,$5110.51,YELLOW,06/30/2037
67,Clifford,Allison,57,Vula Path,Rilsawme,MA,56048,$7892.79,WHITE,11/10/2001
68,Gregory,Greene,47,Daeh Junction,Vapjiok,TX,92626,$1068.04,YELLOW,06/30/1977
69,Justin,Parks,25,Rovef Mill,Sedherte,CT,29390,$3311.55,WHITE,10/27/2008
70,Teresa,Fox,21,Bewko Place,Idagoij,NC,65025,$8892.36,RED,02/21/1910
71,Ada,Gregory,54,Foka Mill,Nodkedrod,PA,20402,$1305.39,RED,12/03/1957
72,Lucy,Morris,50,Linew Turnpike,Pilsewmi,WA,41605,$6012.93,YELLOW,11/07/1973
73,Olivia,Boone,45,Fizke Parkway,Suhokuci,MI,84308,$5812.10,BLUE,01/15/2066
74,Antonio,Massey,55,Hurin Point,Vacutnot,IL,35925,$3288.21,GREEN,02/14/1923
75,Bernard,Harris,19,Gooj Way,Fotkifes,NE,16290,$9354.52,GREEN,05/12/1934
76,Georgie,Porter,38,Rotpa Grove,Lufusalit,RI,62214,$612.46,RED,12/21/1921
77,Elizabeth,Martin,56,Bohum Highway,Ceumiir,MT,32288,$1452.48,WHITE,01/27/1909
78,Willie,Estrada,44,Ivasok Road,Pokecuf,NM,96691,$9805.30,GREEN,02/12/1999
79,Mollie,Simmons,36,Kevob View,Deklusrak,NJ,44991,$3533.70,WHITE,01/22/2023
80,Louise,Olson,29,Bodum Way,Sabtipi,OR,27966,$4055.51,RED,01/10/1925
81,Daniel,Shaw,40,Tinuf Terrace,Iljatki,AL,24283,$82.53,WHITE,12/15/1936
82,Marie,Hammond,52,Fuzupo View,Hosonku,OH,43153,$917.77,YELLOW,10/17/2032
83,Amy,Logan,48,Nimer River,Sedabmih,WI,36908,$7788.90,WHITE,10/14/2040
84,Angel,Foster,59,Wozo Trail,Dirjepujo,VA,37118,$6092.02,BLUE,03/28/1929
85,Sara,Richards,30,Nibso Circle,Sajbegit,SC,01222,$52.58,RED,09/18/1985
86,Stephen,Osborne,43,Lelzeb Road,Duzurhuv,GA,06377,$6767.75,WHITE,03/31/1952
87,Curtis,Yates,61,Emecec Terrace,Ponepub,KY,73210,$6211.60,WHITE,03/27/1965
88,Max,Ramsey,18,Fupidi Boulevard,Naworwu,WV,94775,$8292.23,WHITE,02/20/2009
89,Edwin,Beck,29,Notil River,Lemhengu,GA,16524,$3270.61,WHITE,02/21/1914
90,Tommy,Roberts,35,Sehib Drive,Giztieku,WV,58342,$6438.90,WHITE,04/19/2006
91,Addie,Osborne,60,Fepal Turnpike,Majavku,TX,93787,$3911.83,WHITE,11/08/2005
92,Justin,Mann,50,Movar Avenue,Pulnucon,KS,10985,$4041.34,BLUE,12/03/1901
93,Eugenia,Bryan,41,Kines Extension,Atumalam,WY,12393,$5616.03,WHITE,08/25/1940
94,Millie,Parker,61,Witrej Grove,Zadazvil,OR,61680,$4417.32,RED,05/21/1908
95,Francis,Parsons,50,Hieva Manor,Didihwoh,KS,84130,$3184.54,RED,10/26/1908
96,Ronnie,Carr,29,Bufne View,Jugkopgo,MI,90942,$550.09,GREEN,03/21/2042
97,Jimmy,Gonzalez,32,Socep Path,Najutgu,MN,83420,$6502.26,BLUE,02/17/2030
98,Michael,Fowler,46,Moskaf Highway,Kadsafre,SC,66987,$9888.80,BLUE,05/02/2070
99,Ora,Pierce,42,Mikew Turnpike,Rubavah,WY,56173,$9912.71,WHITE,07/19/1945
100,Eddie,Ingram,31,Kuzol Parkway,Nuhujiji,WI,16056,$9303.02,YELLOW,08/06/1961
